url,etat,matiere,couleur,categorie,likes,prix,prix_total,collection
https://www.vinted.fr/items/8847252524-zara-cotton-jacket-new-with-tags-size-l?referrer=catalog,Neuf avec étiquette,Coton,Marine,Manteaux et vestes,20,"45,00 €","48,50 €",garcon
https://www.vinted.fr/items/8897713431-jupe-tube-noire-femme-zara-basics-taille-m?referrer=catalog,Très bon état,"Polyester, Viscose, Élasthanne",Noir,Jupes,38,"5,00 €","5,70 €",garcon
https://www.vinted.fr/items/8832315959-luchtig-truitje?referrer=catalog,Neuf sans étiquette,"Polyester, Viscose",Beige,Sweats et sweats à capuche,10,"5,00 €","5,53 €",garcon
https://www.vinted.fr/items/8900535082-pull-sans-manche-bleu-jean-zara?referrer=catalog,Très bon état,Coton,"Bleu, Bleu clair",Sweats et sweats à capuche,37,"4,00 €","4,90 €",garcon
https://www.vinted.fr/items/8867603375-calcas-cargo-verde-kaki-zara?referrer=catalog,Neuf sans étiquette,"Polyester, Viscose, Élasthanne",Kaki,Pantalons et leggings,14,"25,00 €","26,95 €",garcon
https://www.vinted.fr/items/8900045622-chemise-bleue-zara?referrer=catalog,Très bon état,Coton,Bleu clair,Hauts et t-shirts,11,"15,00 €","16,45 €",garcon
https://www.vinted.fr/items/8903723420-veste-en-cuir-zara?referrer=catalog,Bon état,,Kaki,Manteaux et vestes,5,"6,00 €","7,00 €",garcon
https://www.vinted.fr/items/8883717639-zara-stiefel?referrer=catalog,Neuf avec étiquette,Cuir,Marron,Chaussures,118,"60,00 €","64,55 €",garcon
https://www.vinted.fr/items/8225449454-kapuzenshirt-von-zara?referrer=catalog,Très bon état,,"Vert, Kaki",Sweats et sweats à capuche,11,"9,00 €","9,98 €",garcon
https://www.vinted.fr/items/8902108246-combishort?referrer=catalog,Neuf sans étiquette,Coton,Bleu clair,Combinaisons et combishorts,13,"10,00 €","11,20 €",garcon
https://www.vinted.fr/items/8905439468-calcoes-low-rise-as-riscas-rosa-e-brancas-da-zara?referrer=catalog,Très bon état,Coton,"Blanc, Rose",Shorts,4,"5,00 €","5,70 €",garcon
https://www.vinted.fr/items/8897963414-khaki-linnen-broek-zara?referrer=catalog,Neuf sans étiquette,,"Kaki, Beige",Pantalons et leggings,16,"10,00 €","11,20 €",garcon
https://www.vinted.fr/items/8901706515-haut-a-bretelles-larges?referrer=catalog,Très bon état,"Polyester, Élasthanne",Rose,Hauts et t-shirts,8,"3,00 €","3,85 €",garcon
https://www.vinted.fr/items/8903447133-camicia-lino?referrer=catalog,Très bon état,,Crème,Hauts et t-shirts,35,"6,00 €","6,61 €",garcon
https://www.vinted.fr/items/8820326913-schwarze-lederstiefel?referrer=catalog,Neuf avec étiquette,Cuir,Noir,Chaussures,4,"50,00 €","53,20 €",garcon
https://www.vinted.fr/items/8904083325-haut-zara?referrer=catalog,Très bon état,"Coton, Lin, Dentelle",Crème,Hauts et t-shirts,139,"17,00 €","18,55 €",garcon
https://www.vinted.fr/items/8899052246-pantalon-a-carreaux?referrer=catalog,Très bon état,"Polyester, Viscose, Élasthanne",Menthe,Pantalons et leggings,8,"7,00 €","8,05 €",garcon
https://www.vinted.fr/items/8836561256-vestido-corto-de-zara?referrer=catalog,Neuf avec étiquette,"Polyester, Élasthanne","Noir, Marron",Robes,23,"20,00 €","21,70 €",garcon
https://www.vinted.fr/items/8884343728-pantalon-jambes-larges-noir?referrer=catalog,Très bon état,Polyester,Noir,Pantalons et leggings,17,"10,00 €","11,05 €",garcon
https://www.vinted.fr/items/8899284930-jean-troue-pour-femme?referrer=catalog,Très bon état,"Coton, Élasthanne",Bleu,Jeans,9,"6,00 €","7,00 €",garcon
https://www.vinted.fr/items/8899415067-veste-en-cuir-zara?referrer=catalog,Très bon état,"Cuir, Cuir synthétique","Kaki, Vert",Manteaux et vestes,49,"35,00 €","37,45 €",garcon
https://www.vinted.fr/items/8904380536-ensemble-blanc?referrer=catalog,Très bon état,"Coton, Polyester",Blanc,Vêtements de sport,29,"11,00 €","12,04 €",garcon
https://www.vinted.fr/items/8887297596-belles-bottines-zara?referrer=catalog,Très bon état,,Noir,Chaussures,3,"20,00 €","21,80 €",garcon
https://www.vinted.fr/items/8891622086-mules-zara?referrer=catalog,Neuf avec étiquette,Cuir,"Marron, Bordeaux",Chaussures,42,"35,00 €","38,08 €",garcon
https://www.vinted.fr/items/8901608637-gilet-zara?referrer=catalog,Très bon état,Polyester,"Fuchsia, Rose",Sweats et sweats à capuche,9,"9,00 €","10,15 €",garcon
https://www.vinted.fr/items/8898163607-pull-fin?referrer=catalog,Très bon état,"Polyester, Viscose, Nylon",Bleu,Sweats et sweats à capuche,6,"3,00 €","3,56 €",garcon
https://www.vinted.fr/items/8890812987-pantalon-elegant-bleu-ciel?referrer=catalog,Très bon état,"Polyester, Viscose",Bleu clair,Pantalons et leggings,27,"6,00 €","6,77 €",garcon
