etat,matiere,couleur,categorie,likes,prix,prix_total,collection,prix_moyen_zara,decote
très bon état,fibres synthétiques,bleu,pantalons et leggings,27.0,6.0,7.0,homme,59.95,0.8999165971643036
neuf avec étiquette,fibres naturelles végétales,blanc/beige,shorts,23.0,6.5,7.53,homme,35.95,0.8191933240611962
neuf sans étiquette,autres,bleu,blazers et tailleurs,111.0,40.0,43.15,homme,159.0,0.7484276729559749
neuf avec étiquette,fibres synthétiques,marron,accessoires,24.0,5.0,5.7,homme,59.95,0.9165971643035863
très bon état,fibres synthétiques,vert,pantalons et leggings,7.0,7.0,7.7,homme,55.78333333333334,0.8745144905885868
très bon état,fibres naturelles végétales,motif/multicolore,hauts et t-shirts,18.0,6.0,7.0,homme,40.66428571428571,0.8524503776567715
très bon état,fibres synthétiques,noir/gris,blazers et tailleurs,84.0,15.0,16.45,homme,119.0,0.8739495798319328
très bon état,fibres synthétiques,motif/multicolore,pantalons et leggings,8.0,15.0,16.45,homme,49.95,0.6996996996996997
très bon état,fibres synthétiques,noir/gris,hauts et t-shirts,26.0,15.0,16.4,homme,32.2,0.5341614906832299
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,14.0,4.0,4.9,homme,36.09285714285714,0.8891747476746488
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,12.0,5.0,5.95,homme,36.09285714285714,0.8614684345933109
très bon état,fibres synthétiques,noir/gris,jupes,38.0,5.0,5.53,homme,49.36521739130434,0.898714109564911
très bon état,fibres synthétiques,motif/multicolore,sweats et sweats à capuche,8.0,9.0,10.15,homme,35.95,0.7496522948539639
neuf sans étiquette,fibres naturelles végétales,marron,manteaux et vestes,10.0,10.0,11.2,homme,75.77727272727275,0.8680343110791194
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,7.0,8.0,9.1,homme,32.2,0.7515527950310559
très bon état,fibres synthétiques,bleu,sweats et sweats à capuche,6.0,3.0,3.85,homme,35.95,0.9165507649513213
très bon état,fibres naturelles végétales,motif/multicolore,sweats et sweats à capuche,37.0,4.0,4.44,homme,35.95,0.8887343532684284
très bon état,fibres naturelles végétales,bleu,robes,27.0,15.0,16.45,homme,49.36521739130434,0.696142328694733
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,42.0,6.0,6.61,homme,36.09285714285714,0.833762121511973
neuf sans étiquette,autres,marron,chaussures,49.0,15.0,16.45,homme,77.95,0.8075689544579859
très bon état,fibres synthétiques,noir/gris,hauts et t-shirts,8.0,5.0,5.7,homme,32.2,0.84472049689441
neuf sans étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,20.0,10.0,10.95,homme,36.09285714285714,0.7229368691866218
très bon état,fibres naturelles végétales,noir/gris,pantalons et leggings,33.0,5.0,5.7,homme,54.95,0.9090081892629663
très bon état,fibres naturelles végétales,motif/multicolore,pantalons et leggings,222.0,10.0,11.2,homme,49.95,0.7997997997997999
neuf sans étiquette,fibres naturelles végétales,bleu,combinaisons et combishorts,13.0,10.0,11.2,homme,49.36521739130434,0.7974282191298221
très bon état,fibres naturelles végétales,bleu,jeans,16.0,3.0,3.85,homme,49.95,0.93993993993994
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,123.0,7.0,7.84,homme,32.2,0.782608695652174
très bon état,fibres synthétiques,noir/gris,blazers et tailleurs,8.0,10.0,11.2,homme,119.0,0.9159663865546218
très bon état,fibres naturelles végétales,noir/gris,autres,54.0,12.0,13.3,homme,22.95,0.4771241830065359
très bon état,fibres synthétiques,motif/multicolore,pantalons et leggings,14.0,6.0,6.61,homme,49.95,0.8798798798798799
très bon état,autres,motif/multicolore,pantalons et leggings,62.0,14.0,15.4,homme,49.95,0.7197197197197197
très bon état,fibres synthétiques,vert,hauts et t-shirts,39.0,5.0,5.95,homme,39.95,0.8748435544430538
neuf sans étiquette,fibres artificielles,noir/gris,hauts et t-shirts,20.0,3.0,3.85,homme,32.2,0.906832298136646
bon état,fibres naturelles végétales,noir/gris,blazers et tailleurs,9.0,5.0,5.95,homme,119.0,0.957983193277311
très bon état,fibres naturelles végétales,blanc/beige,hauts et t-shirts,5.0,5.0,5.53,homme,36.09285714285714,0.8614684345933109
neuf sans étiquette,fibres naturelles animales,motif/multicolore,hauts et t-shirts,10.0,5.0,5.95,homme,40.66428571428571,0.8770419813806429
très bon état,fibres synthétiques,noir/gris,hauts et t-shirts,38.0,5.0,5.95,homme,32.2,0.84472049689441
neuf sans étiquette,fibres synthétiques,blanc/beige,jupes,7.0,5.0,5.7,homme,49.36521739130434,0.898714109564911
très bon état,fibres artificielles,vert,hauts et t-shirts,37.0,4.0,4.63,homme,39.95,0.899874843554443
bon état,fibres naturelles végétales,bleu,jeans,9.0,6.0,7.0,homme,49.95,0.8798798798798799
très bon état,autres,vert,hauts et t-shirts,19.0,5.0,5.95,homme,39.95,0.8748435544430538
neuf sans étiquette,fibres artificielles,bleu,blazers et tailleurs,12.0,15.0,16.38,homme,159.0,0.9056603773584906
très bon état,fibres naturelles végétales,blanc/beige,manteaux et vestes,29.0,10.0,11.2,homme,89.475,0.8882369376920928
très bon état,autres,noir/gris,manteaux et vestes,24.0,10.0,11.2,homme,89.95,0.8888271261812117
très bon état,fibres synthétiques,noir/gris,pantalons et leggings,9.0,3.0,3.36,homme,54.95,0.9454049135577798
très bon état,fibres naturelles végétales,blanc/beige,jeans,11.0,16.0,17.46,homme,49.95,0.6796796796796797
très bon état,fibres naturelles végétales,rouge,hauts et t-shirts,33.0,3.0,3.85,homme,29.450000000000003,0.8981324278438031
neuf sans étiquette,fibres naturelles végétales,blanc/beige,hauts et t-shirts,11.0,4.0,4.9,homme,36.09285714285714,0.8891747476746488
très bon état,fibres naturelles végétales,noir/gris,sweats et sweats à capuche,9.0,6.0,7.0,homme,35.95,0.8331015299026425
très bon état,fibres synthétiques,motif/multicolore,blazers et tailleurs,21.0,20.0,21.7,homme,159.0,0.8742138364779874
très bon état,fibres naturelles végétales,noir/gris,sweats et sweats à capuche,9.0,5.0,5.7,homme,35.95,0.8609179415855355
neuf sans étiquette,fibres naturelles végétales,vert,hauts et t-shirts,7.0,2.0,2.8,homme,39.95,0.9499374217772215
très bon état,autres,blanc/beige,chaussures,108.0,30.0,32.65,homme,59.95,0.49958298582151794
neuf sans étiquette,fibres synthétiques,blanc/beige,hauts et t-shirts,9.0,6.0,7.0,homme,36.09285714285714,0.833762121511973
très bon état,autres,noir/gris,hauts et t-shirts,19.0,5.0,5.95,homme,39.95,0.8748435544430538
neuf sans étiquette,fibres synthétiques,motif/multicolore,accessoires,11.0,6.0,6.61,homme,41.45,0.8552472858866104
bon état,fibres naturelles végétales,bleu,manteaux et vestes,33.0,5.0,5.95,homme,72.1,0.9306518723994452
très bon état,fibres naturelles végétales,bleu,jeans,15.0,5.0,5.95,homme,49.95,0.8998998998998999
bon état,fibres synthétiques,marron,manteaux et vestes,22.0,15.0,16.4,homme,75.77727272727275,0.8020514666186792
très bon état,fibres artificielles,bleu,hauts et t-shirts,16.0,5.0,5.95,homme,33.75,0.8518518518518519
très bon état,fibres naturelles végétales,motif/multicolore,jeans,11.0,6.0,6.77,homme,49.95,0.8798798798798799
très bon état,autres,blanc/beige,hauts et t-shirts,24.0,5.0,5.95,homme,39.95,0.8748435544430538
bon état,fibres synthétiques,vert,pantalons et leggings,4.0,7.0,7.84,homme,55.78333333333334,0.8745144905885868
neuf sans étiquette,fibres naturelles végétales,noir/gris,manteaux et vestes,4.0,10.0,11.2,homme,89.95,0.8888271261812117
très bon état,fibres naturelles végétales,motif/multicolore,jeans,24.0,6.0,7.0,homme,49.95,0.8798798798798799
très bon état,fibres naturelles végétales,noir/gris,hauts et t-shirts,17.0,3.0,3.85,homme,32.2,0.906832298136646
neuf sans étiquette,autres,bleu,hauts et t-shirts,29.0,10.0,11.2,homme,39.95,0.7496871088861077
très bon état,fibres synthétiques,noir/gris,blazers et tailleurs,11.0,7.0,8.05,homme,119.0,0.9411764705882353
très bon état,fibres naturelles végétales,bleu,jeans,9.0,6.0,6.61,homme,49.95,0.8798798798798799
très bon état,fibres naturelles végétales,blanc/beige,pantalons et leggings,28.0,10.0,11.2,homme,57.45,0.8259355961705831
